1,0
2,0
3,0.44715273868695
4,0
1,0
2,0
3,0.270163587960264
4,0
1,0
2,0
3,0.141751245212263
4,0
1,0
2,0
3,0
4,0
1,0
2,0
3,0
4,0
1,0
2,0
3,0
4,0
1,0
2,0
3,0
4,0
1,0
2,0
3,0
4,0
1,0
2,0
3,0
4,0
1,0
2,0
3,0
4,0
1,0
2,0
3,1.5531966656803
4,0
1,0
2,0
3,1.91166955236028
4,0
1,0
2,0
3,1.50294434039569
4,0.511003942376109
1,0
2,0
3,0
4,0.141356164764014
1,0
2,0
3,0
4,0.279369544349242
1,0
2,0
3,0
4,0.301289797612203
1,0
2,0
3,0
4,0.163612458206364
1,0
2,0
3,0.384474897043142
4,0.278927270664253
1,0
2,0
3,0.600807513901602
4,0.232810583924955
1,0
2,0
3,0.163746625462303
4,0.186081841216464
1,0
2,0
3,0.0299616505122678
4,0.179771151775827
1,0
2,0
3,0.33183694784817
4,0.0980393019916421
1,0
2,0
3,0.698886721924038
4,0.150295368453387
1,0
2,0
3,0.273088750524873
4,0.132852464814458
1,0
2,0
3,0.319771980637759
4,0.0456811928925865
1,0
2,0
3,0.134922892066553
4,0.029979687911373
1,0
2,0
3,0.380749209340742
4,0.0447938152243394
1,0
2,0
3,0.158779873030469
4,0.0756079181953316
1,0
2,0
3,0.037494887653574
4,0.0299919926050139
1,0
2,0
3,0.223401791483781
4,0.059573574335178
1,0
2,0
3,0.0975792860560658
4,0.0975792860560673
1,0
2,0
3,0.324109241229819
4,0.180898515486911
1,0
2,0
3,0.405009381368557
4,0.150003607039028
1,0
2,0
3,0.126637002666512
4,0.0298007388007474
1,0
2,0
3,0.302457178472785
4,0.0756160974051874
1,0
2,0
3,0.284952359185356
4,0.029993814575264
1,0
2,0
3,0.692678583570213
4,0.12661958234093
1,0
2,0
3,0.566188780060187
4,0.234026951566887
1,0
2,0
3,0.104085670053276
4,0.148694320812121
1,0
2,0
3,0.0606096892348485
4,0.0530208360118166
1,0
2,0
3,0.0595026837456081
4,0.208252300168425
1,0
2,0
3,0.506404766972933
4,0.24186044482257
1,0
2,0
3,1.33844988445957
4,0.195503593414424
1,0
2,0
3,1.19744814577474
4,0.156188888579313
1,0
2,0
3,2.04799548663092
