1779382706.1442864,0,0.088
1779382706.1442864,1,0.093
1779382706.1442864,2,0.093
1779382706.1442864,3,0.095
1779382706.1442864,4,0.091
1779382706.1442864,5,0.1
1779382706.1442864,6,0.096
1779382706.1442864,7,0.097
1779382706.1442864,8,0.093
1779382706.1442864,9,0.092
1779382706.1442864,10,0.102
1779382706.1442864,11,0.096
1779382706.1442864,12,0.087
1779382706.1442864,13,0.1
1779382706.1442864,14,0.093
1779382706.1442864,15,0.095
1779382706.1442864,16,0.088
1779382706.1442864,17,0.101
1779382706.1442864,18,0.094
1779382706.1442864,19,0.099
1779382706.1442864,20,0.095
1779382706.1442864,21,0.093
1779382706.1442864,22,0.097
1779382706.1442864,23,0.093
1779382706.1442864,24,0.097
1779382706.1442864,25,0.096
1779382706.1442864,26,0.097
1779382706.1442864,27,0.095
1779382706.1442864,28,0.091
1779382706.1442864,29,0.097
1779382706.1442864,30,0.094
1779382706.1442864,31,0.093
1779382706.1442864,32,0.096
1779382706.1442864,33,0.092
1779382706.1442864,34,0.101
1779382706.1442864,35,0.091
1779382706.1442864,36,0.089
1779382706.1442864,37,0.091
1779382706.1442864,38,0.098
1779382706.1442864,39,0.09
1779382706.1442864,40,0.097
1779382706.1442864,41,0.091
1779382706.1442864,42,0.088
1779382706.1442864,43,0.092
1779382706.1442864,44,0.092
1779382706.1442864,45,0.093
1779382706.1442864,46,0.089
1779382706.1442864,47,0.091
1779382706.1442864,48,0.095
1779382706.1442864,49,0.092
1779382706.1442864,50,0.094
1779382706.1442864,51,0.092
1779382706.1442864,52,0.089
1779382706.1442864,53,0.091
1779382706.1442864,54,0.094
1779382706.1442864,55,0.089
1779382706.1442864,56,0.093
1779382706.1442864,57,0.096
1779382706.1442864,58,0.094
1779382706.1442864,59,0.096
1779382706.1442864,60,0.098
1779382706.1442864,61,0.088
1779382706.1442864,62,0.099
1779382706.1442864,63,0.091
1779382706.1442864,64,0.09
1779382706.1442864,65,0.082
1779382706.1442864,66,0.097
1779382706.1442864,67,0.09
1779382706.1442864,68,0.095
1779382706.1442864,69,0.089
1779382706.1442864,70,0.089
1779382706.1442864,71,0.09
1779382706.1442864,72,0.084
1779382706.1442864,73,0.092
1779382706.1442864,74,0.093
1779382706.1442864,75,0.086
1779382706.1442864,76,0.093
1779382706.1442864,77,0.087
1779382706.1442864,78,0.087
1779382706.1442864,79,0.092
1779382706.1442864,80,0.095
1779382706.1442864,81,0.092
1779382706.1442864,82,0.091
1779382706.1442864,83,0.085
1779382706.1442864,84,0.09
1779382706.1442864,85,0.088
1779382706.1442864,86,0.088
1779382706.1442864,87,0.093
1779382706.1442864,88,0.091
1779382706.1442864,89,0.091
