1,0
2,0
3,4.2505507645244
4,0
1,0
2,0
3,3.08123858045716
4,0
1,0
2,0
3,3.32970479467339
4,0
1,0
2,0
3,2.42394905892467
4,0
1,0
2,0
3,2.86374682707948
4,0
1,0
2,0
3,7.7444880081204
4,0
1,0
2,0
3,11.875421260646
4,0.0298741887855613
1,0
2,0
3,9.94272375728627
4,2.22880427547972
1,0
2,0
3,2.43069108563585
4,2.46079034576503
1,0
2,0
3,0.665280489194571
4,1.56228702618564
1,0
2,0
3,0
4,0.898736919508872
1,0
2,0
3,0
4,0.518424626890557
1,0
2,0
3,0
4,0.767040163200023
1,0
2,0
3,0
4,0.866613613630635
1,0
2,0
3,0
4,0.785665333701495
1,0
2,0
3,0
4,0.755979019703885
1,0
2,0
3,0
4,0.896636750768262
1,0
2,0
3,0
4,0.979861025714188
1,0
2,0
3,0
4,0.270251871256057
1,0
2,0
3,0
4,0
1,0
2,0
3,0
4,0
1,0
2,0
3,0
4,0.0600108173180162
1,0
2,0
3,0
4,0.704921428674586
1,0
2,0
3,0
4,1.16073258031445
1,0
2,0
3,0
4,0.696336721385063
1,0
2,0
3,0
4,0.464442406836291
1,0
2,0
3,0
4,0.960991910389227
1,0
2,0
3,0
4,0.85990531002212
1,0
2,0
3,0
4,1.04871956077781
1,0
2,0
3,0
4,1.24337582443631
1,0
2,0
3,0
4,1.80118163363495
1,0
2,0
3,0
4,4.27537258529606
1,0
2,0
3,0
4,2.73031281295408
1,0
2,0
3,0
4,3.28644372229665
1,0
2,0
3,0
4,8.18205286406656
1,0
2,0
3,0
4,9.81641378506331
1,0
2,0
3,0
4,8.17453265314944
1,0
2,0
3,0
4,8.31164556689783
1,0
2,0
3,0
4,97.5514930860355
1,0
2,0
3,0
4,7.43503175437338
1,0
2,0
3,0
4,5.29804498169378
1,0
2,0
3,0
4,12.450008439827
1,0
2,0
3,0
4,26.5953468808703
1,0
2,0
3,0
4,9.28877704398267
1,0
2,0
3,0
4,14.0603078698473
1,0
2,0
3,0
4,22.2383871036146
1,0
2,0
3,0
4,16.0252130866409
1,0
2,0
3,0.0150098321525217
4,15.362558384479
1,0
2,0
3,0
4,3.00097232211841
1,0
2,0
3,0
4,15.1046817812467
1,0
2,0
