timestamp,distance_m
1779382830.6287894,12.05122304201126
1779382830.6831656,12.05122304201126
1779382830.7376802,12.05122304201126
1779382830.886738,12.510364825725555
1779382830.9431412,12.510364825725555
1779382830.9989836,12.510364825725555
1779382831.1354272,12.050895493030549
1779382831.1912284,12.050895493030549
1779382831.3408058,12.048889255523681
1779382831.3958166,12.048889255523681
1779382831.4466157,12.048889255523681
1779382831.6187146,12.051018323898315
1779382831.6753063,12.051018323898315
1779382831.829891,12.049708127975464
1779382831.8836436,12.049708127975464
1779382831.9417815,12.049708127975464
1779382832.098047,12.052246632575988
1779382832.1516829,12.052246632575988
1779382832.21069,12.052246632575988
1779382832.37633,12.048643593788148
1779382832.4309757,12.048643593788148
1779382832.4819977,12.048643593788148
1779382832.6588044,12.052041914463043
1779382832.7143307,12.052041914463043
1779382832.7699497,12.052041914463043
1779382832.9322543,12.050117564201354
1779382832.9860847,12.050117564201354
1779382833.0415485,12.050117564201354
1779382833.187412,12.05126398563385
1779382833.2414694,12.05126398563385
1779382833.302929,12.05126398563385
1779382833.4672565,12.051182098388672
1779382833.5269227,12.051182098388672
1779382833.5802279,12.051182098388672
1779382833.754444,12.051345872879029
1779382833.810695,12.051345872879029
1779382833.9707532,12.051427760124206
1779382834.0260487,12.051427760124206
1779382834.0818596,12.051427760124206
1779382834.2459154,12.048234157562256
1779382834.2994292,12.048234157562256
1779382834.353423,12.048234157562256
1779382834.5152724,12.049134917259217
1779382834.576993,12.049134917259217
1779382834.635443,12.049134917259217
1779382834.7828195,12.050445113182068
1779382834.842009,12.050445113182068
1779382835.017281,12.050076620578766
1779382835.098834,12.050076620578766
1779382835.2631612,12.050649831295013
1779382835.3190246,12.050649831295013
1779382835.5013378,12.052737956047059
1779382835.5637112,12.052737956047059
1779382835.7132044,12.051550590991974
1779382835.769659,12.051550590991974
1779382835.9485881,12.050486056804656
1779382836.0364301,12.050486056804656
1779382836.190947,12.047742834091187
